post,is_stress,stress_kind
?,0,Other
2 of my foster kittens died,1,Other
A better question would be what is not stressing me out.,1,Work
a big project at work.,0,Work
a certain person at work is being really angry with me lately.,1,Emotional Turmoil
a coworker completely ignored and replaced my work,1,Work
a coworker has been really cold with me recently and it makes work uncomfortable.,1,Work
a few things - i can fill you in later when we chat,1,"Health, Fatigue, or Physical Pain"
a friendship,1,Emotional Turmoil
a good friend of mind is in the hospital wit pneumonia,1,Work
a group project at my job,1,Work
a heavy work with less time duration,1,Work
A house almost fell on my earlier.  It really did.,1,Emotional Turmoil
"A lot of my hair has been falling out, and I'm afraid I'll go bald.",1,"Health, Fatigue, or Physical Pain"
a lot of things! where to start?!,1,Other
a lot of work is piling up,1,Work
a lot of work pressure in my office,1,Work
a lot on my to do list,1,Work
a lot to do at work right now,1,Work
A new type of job where I am by myself,1,Work
a newborn that doesn't sleep for very long at night,1,Family Issues
a paper i need to write,1,School
a person i know is manipulating money owed.,1,Financial Problem
a person i work with is driving me crazy,1,Social Relationships
a problem at work,1,Emotional Turmoil
"a problem at work, a problem at school, and planning a surprise party for my mother",1,Work
"a problem at work, school, or simply planning a meal and the work problem office",1,"Health, Fatigue, or Physical Pain"
a professor is driving me crazy.,1,School
a recent project at my workplace has been giving much stress lately.,1,Work
A recent situation has been this corona virus and not knowing what is going on with coll,1,School
a recent situation is that my house is listed and not selling quick,1,Financial Problem
a recent situation that has been stressful to me is with my work.,1,Work
a recent situation that's been stressing me out is my trust issues i have with people,1,Emotional Turmoil
a recent stressful situation that i have experienced is being overworked.,1,Work
A situation that has been stressing me out is the coronavirus.,1,"Health, Fatigue, or Physical Pain"
aagh insurance company overdrafted my checking acccount in error and refuses to fix.,1,Financial Problem
"about my husband drinking problem. his drinking all day, spending $19 everyday.",1,Family Issues
about working,1,Family Issues
Adjusting to distance learning for graduate level courses,1,School
all 3 of my grown children have significant issues going on.,1,Family Issues
all my new work duties,1,Work
All of my classes being online and my roommate is being hypocritical.,1,Social Relationships
All of my classes moving online,1,School
All of the COVID-19 happenings and the financial fallout that has happened as a result.,1,Emotional Turmoil
All of the news and lockdown of the covid-19,1,Everyday Decision Making
all of this covid stuff kinda,1,Emotional Turmoil
all the craziness going on in the country right now,1,Other
all the drama involving my case.,1,Family Issues
All the panic about the global pandemic has been stressing me out!,1,Everyday Decision Making
all these exams i have coming up and no time to study!,1,School
all these extra hours at work are driving me insane.,1,Work
All this Covid-19 stuff is really stressing me out.,1,"Health, Fatigue, or Physical Pain"
All this school work,1,School
all this schoolwork i've had lately.,1,School
alot of stress at work.,1,Work
"am having a terrible time  planning my dinner tonite, please any suggestions",1,Everyday Decision Making
amazon turk has been really slow so i haven't been making much extra money...,1,Work
An exam at school that everyone is saying you can't pass.,1,School
and name,0,Other
answer with the situation,0,Other
anxious customer,1,Work
anything i can do to help?,1,Family Issues
applying for a writing grant with many requirements.,1,Work
"Argh, don't have the AMR measure for submission yet.",1,Work
"as i'm applying to nursing schools, there's so many applicants i hope i get in.",1,School
"at my current work, i am feeling so stressful and tired because of my team work pressure",1,Work
At the moment just life,1,Family Issues
"at the time i was very angry to with my friend and then , i am going to depression stage",1,Family Issues
bad day at work.,1,Work
"Balancing school and work online, and maintaining a healty diet",1,Work
balancing work with home schooling my children,1,Work
"balancing work, life, & budget",1,Work
"balancing working enough to pay bills, but also not overworking.",1,Work
be cool,0,Family Issues
Because of a power outage all of my classes have been moved to online,1,School
"Because of coronavirus, I've lost about 3 months of work.",1,Work
becoming a sahm isn't what i expected.,1,Emotional Turmoil
been busy w/ work,1,Work
been sick with pneumonia and haven't been able to work,1,Work
been slammed at work with the holidays coming up.,1,Work
Been stressed at work.,1,Work
been stressing about work and having a new baby,1,Family Issues
been trying for days to book doc apt and still waiting :(,1,"Health, Fatigue, or Physical Pain"
"being a caregiver for a sick family friend, i feel like i have no time to myself",1,Family Issues
being a new mom and trying to find time to myself,1,Family Issues
Being able to find food and goods for my family.,1,Other
being able to my bills on time,1,Financial Problem
being at home alone with a newborn.,1,Family Issues
being back at work,1,Work
being evicted,1,Financial Problem
being hit on by coworker,1,Work
Being home almost all day,1,Other
being home for several weeks at a time,1,"Health, Fatigue, or Physical Pain"
Being home with the kids all day during this pandemic!,1,"Health, Fatigue, or Physical Pain"
"being in a shelter in place order, which is driving me insane not being able to go out",1,Social Relationships
being in the hospital for several days,1,Financial Problem
Being laid off from work,1,Financial Problem
Being laod off from my job,1,Work
being micromanaged at my workplace.,1,Work
being off of work,1,Work
Being quarantined because of the corona virus.,1,Emotional Turmoil
Being quarantined because og Corona Virus,1,Work
Being quarantined due to coronavirus.,1,"Health, Fatigue, or Physical Pain"
Being quarantined for the coronavirus in our town,1,Financial Problem
Being quarantined in my home because of a widespread infectious disease...,1,Everyday Decision Making
being self employed for the new year is really stressing me out.,1,Work
Being shut in from the virus,1,Other
being sick all week,1,"Health, Fatigue, or Physical Pain"
Being stuck at home and not being able to go  to church,1,Other
"Being stuck at home has been pretty stressful, the pressure of the world today.",1,Emotional Turmoil
Being stuck at home in quarantine,1,Other
being stuck at home watching nothing but news on the coronavirus!,1,Emotional Turmoil
Being stuck at home with two other people and having no privacy.,1,"Health, Fatigue, or Physical Pain"
Being stuck in my house during quarantine,1,"Health, Fatigue, or Physical Pain"
Being stuck inside due to the coronavirus,1,"Health, Fatigue, or Physical Pain"
Being turned down for SSI and having to find an attorney to fight it.,1,Financial Problem
Being unemployed has been really stressful.,1,Work
being unproductive,1,Work
believing i'm incompetent at my job.  feels like in over my head.,1,Work
"besides everything? the amount of wasted time it takes to get anything done, takes time",1,Emotional Turmoil
big project at work has had me pulling my hair out,1,Work
big test coming up and need to finish my work.,1,Work
big trip home,1,Work
bills,1,Financial Problem
"bills. with the holidays coming up, i just don't know how i'm going to manage.",1,Financial Problem
body pain,1,"Health, Fatigue, or Physical Pain"
boss at work,1,Work
boss has been frustrating me!,1,Work
boss has been really annoying lately.,1,Work
boss keeps piling me up with work,1,Work
"Bowling center shutdown, no coaching lessons for a month. No money.",1,Financial Problem
budget cuts at work,1,Work
bueller?,0,Other
Buying a home and figuring out how to pay for it,1,Financial Problem
buying a house has been pretty stressful!,1,Emotional Turmoil
buying my first home,1,Financial Problem
california wildfires are a big concern,1,Emotional Turmoil
"calm friend, everything will be fine, remember to stay calm",1,School
can i go online to earn enough money to pay the bills.,0,Financial Problem
can we meet and talk sometime?,0,Emotional Turmoil
can we meet for coffee so i can talk to you?,0,Family Issues
Can we talk rather than text?,0,Other
can't do the same things at work i used to be able to do,1,Work
can't figure out how to pay for my books,1,Financial Problem
cant figure out what to do in the job or task,1,Emotional Turmoil
Can't find anything to fix,0,Everyday Decision Making
can't get a job and the only place that calls me back is a shitty warehouse.,1,Financial Problem
can't seem to get ahead financially.  every time i catch up something breaks,1,Financial Problem
car,1,Work
car problems are starting to worry me.,1,Financial Problem
ceramics,1,Other
Changes in my work and school schedule because of COVID 19,1,Work
changes in work schedule,1,Work
changing my water filter at my house.,0,Other
chistmas is coming up and we are so broke this year,1,Financial Problem
christmas has been stressing me out!,1,Other
christmas is coming and i'm swamped with medical bills.,1,Financial Problem
chritmas is coming up and i am worried i wont be able give my family a good xmas,1,Financial Problem
class is boring....unable to focus,1,School
classes,1,Work
classes at my college,1,School
college,1,Work
college and work have both been pretty stressful.,1,Work
"college has been really stressing me out lately, thanks for asking.",1,School
college is super hard I'm not doing well in essay,1,Financial Problem
coming up with a 1000.00 to fix my vehicle that needs to be repaired.,1,Financial Problem
commuting to work,1,Work
completing a project on time and correctly.,1,Work
concentrating at work,1,Work
Concerns about the situation in the world right now.,1,Financial Problem
cooking on time sometimes,0,Emotional Turmoil
CORNOAVIRUS AND THE UNKNOWN,1,Other
corona,1,Emotional Turmoil
corona virus,1,Other
corona virus freaking me out,1,Other
corona virus is sprending like a wildfire,1,"Health, Fatigue, or Physical Pain"
"Corona Virus! I have not work, no contacts, can't leave the house. How are you?",1,Everyday Decision Making
Corona virus... it's just non stop. What about you?,1,"Health, Fatigue, or Physical Pain"
Coronavirus and my job situation.,1,Work
Coronavirus and panic buying have been stressing me out.,1,Work
Coronavirus has been stressing me out due to being in furlough,1,Financial Problem
"Coronavirus has been stressing me out. I'm afrain to get sick, I cannot work and i am st",1,"Health, Fatigue, or Physical Pain"
Coronavirus has definitely increased my anxiety,1,Other
Coronavirus is happening and I can't leave my house.,1,Other
Coronavirus is threatening my current employment.,1,Work
CORONAVIRUS preventing me from WORKING so I cannot pay my BILLS and keep family FED,1,Financial Problem
"Coronavirus, my financial budget, thinking of my student debts",1,Financial Problem
Coronavirus.  I am high risk because of asthma so I am worried,1,"Health, Fatigue, or Physical Pain"
Coronavirus.  I'm very scared of what it will do,1,Emotional Turmoil
court in 2 weeks nd no deal in sight,1,Other
Covid 19,1,Everyday Decision Making
Covid 19 has been severely impacting my life. I miss seeing people.,1,Other
COVID 19 is everywhere and I have to respond as a fire fighter,1,Work
covid 19 is making me lose hours at work and i cant keep up with my bills,1,Financial Problem
"COVID is really stressing me, I can't think about anything else.",1,Emotional Turmoil
Co-vid! Isn't that what's stressing us all out?,1,Other
Covid-19 and money,1,"Health, Fatigue, or Physical Pain"
Covid-19 has been really stressing me out. Life as we know it is forever different,1,Other
COVID-19 has been stressing me out!,1,Other
covid19 has messed with my sleep schedule a bit,1,"Health, Fatigue, or Physical Pain"
covid-19 is all over my town and i'm afraid to die!,1,Other
Covid-19 it laid of my husband from work. My surgery got postponed.,1,Work
COVID-19 Pandemic,1,Other
Covid-19 pandemic has been really stressful,1,"Health, Fatigue, or Physical Pain"
COVID-19 Quarantine has me feeling pretty lonely and isolated lately.,1,Emotional Turmoil
coworkers ostracising me again,1,Emotional Turmoil
crap life seems to suck!,1,Emotional Turmoil
currently my relationship but i'm working on it.,1,Other
Currently not being able to see my girlfriend is stressing me out slightly.,1,Work
Currently stressing about the COVID-19 as I have been unemployed for two weeks.,1,Financial Problem
"cut to part time, can't pay rent or bills, feel terrible",1,Financial Problem
darn lazy ass people at work. feed up with seeing people talking and not wo,1,Work
deadline,1,Work
deadlines,1,Work
deadlines for all my courses,1,School
Dealing with Ali is stressing me out.,1,Family Issues
dealing with anxiety from the stress of car repair and being unemployed.,1,Financial Problem
dealing with finding a daycare for my daughter,1,Family Issues
dealing with grief following the death of both my grandparents last month,1,Family Issues
dealing with illness along with my wife,1,"Health, Fatigue, or Physical Pain"
dealing with my coworkers everyday with their annoying habits,1,Work
dealing with my husband's heal issues and his problems with the va is always stressful,1,Family Issues
dealing with my lawyer,1,Emotional Turmoil
Dealing with my Lupus flares,1,"Health, Fatigue, or Physical Pain"
Dealing with people have not been the easiest thing for me lately.,1,Social Relationships
Dealing with right-wing syncophants and trolls online and in social media has been hard.,1,Emotional Turmoil
dealing with that woman at work,1,Work
dealing with the death of my father,1,Family Issues
dealing with this coronavirus and not being able to have family and friends over,1,"Health, Fatigue, or Physical Pain"
death in the famy,1,Family Issues
debt payments,1,Financial Problem
deciding if i should work out or not,1,"Health, Fatigue, or Physical Pain"
Deciding wether or not to return back to school,1,School
deciding what to make for dinner,0,Everyday Decision Making
definitely all the bills I have to pay,1,Financial Problem
definitely my work has been stressing me out big time!,1,Work
Definitely the COVID-19 Global outbreak that requires being Quarantined,1,Emotional Turmoil
"didn't have the money to enroll for classes until today, yikes",1,Financial Problem
difficult people at work,1,Work
Difficulty installing security protection on multiple devices.,1,Other
disease is killing people,1,"Health, Fatigue, or Physical Pain"
do you have time to talk,1,Everyday Decision Making
do you wanna talk about it?,0,Other
donald trump and the republicans are destroying our democracy,1,Other
don't know what to cook for dinner,1,Emotional Turmoil
driving 2 work really sucks,1,Work
driving my kids all over town is getting crazy and really stressing me out,1,"Health, Fatigue, or Physical Pain"
"dude i am so stressed out about moving to nevada , i hate it.",1,Emotional Turmoil
dude waaaaazzzz uuuup.,0,Family Issues
dude work has been kicking my butt lol,1,Work
"Dude, I've been so worried about online classes LOL",1,School
due to certain circumstances that have donned on me it has been tough to meet financial,1,Financial Problem
due to lack of sleep i am feeling stressful,1,Emotional Turmoil
"due to the corona virus, i must stay home. it means i get no salary",1,Work
"Due to the coronavirus, I no longer have a job, it is scary.",1,Work
eating well,1,"Health, Fatigue, or Physical Pain"
enough money for retirement,1,Financial Problem
essays are piling up and i'm drowning in them.,1,School
"even though i did a good job, i worry my boss won't give a good recommendation.",1,Work
every day is stress in current work situation steve needs to retire.,1,Work
every time i turn on the news and social media facebook it seems to stress me out,1,"Health, Fatigue, or Physical Pain"
everyone being in my space while stuck at home,1,Work
everyone is getting promoted at work except me.,1,Work
Everything about this virus is stressing me out.,1,"Health, Fatigue, or Physical Pain"
"everything at work is. i have stacks of papers to finish, and no time to do so. ugh",1,Work
"everything at work, just generally what is expected of me.",1,Work
everything because of my current anxiety and bad depression.,1,Everyday Decision Making
everything stress me out,1,Other
everything stresses me out lately.,1,Financial Problem
"everything that has been going on that i explained to you, its all overwhelming me.",1,Financial Problem
Everything that's happening with corona virus is making me nervous.,1,"Health, Fatigue, or Physical Pain"
Everything will be just fine. Just stick with it,0,Work
"everything. i'm so overwhelmed, no help, no time urgggg",1,"Health, Fatigue, or Physical Pain"
family,1,Family Issues
family coming for a visit. they have special diets-i am nervous about cooking.,1,Emotional Turmoil
"family drama mostly, having to deal with the kid.",1,Family Issues
"family expectations, they want me to visit when they think it convenient.",1,Family Issues
Family home all day. No me time. Too much noise. Can't work easily.,1,Family Issues
"family is driving me crazy, think i need a break!",1,Family Issues
family stress.,1,Family Issues
Fear about the virus and my job.,1,Other
feeling alone and that i am not part of anything,1,Emotional Turmoil
feeling bad about myself,1,Emotional Turmoil
feeling inadequate at work/doubting what occupation fits for me,1,Work
feeling insecure about my short hair,1,Social Relationships
feeling lonely,1,Social Relationships
feeling overwhelmed,1,"Health, Fatigue, or Physical Pain"
feels like everything all at once,1,Family Issues
fellow employees at work,1,Social Relationships
Figuring out a long term job during the pandemic,1,Work
figuring out how to handle play dates with my kids,1,Family Issues
Figuring out to work from home,1,Work
figuring out what classes i want to take,1,School
figuring out where to go fruit picking tomorrow,1,Emotional Turmoil
filing state taxes for my business.,1,Work
filled with work this week. don't want to miss the date.,1,Work
Finances,1,Financial Problem
finances are tight right now,1,Financial Problem
finances have been really stressing me out lately.,1,Financial Problem
finances have been stressing me out again,1,Financial Problem
"Finances, my dad got laid off and i'm only part time",1,Work
finances. i often think about how i'm going to live a comfortable life.,1,Financial Problem
financial constraints and so i need a well paying job,1,Financial Problem
financial issues are the main stressor in my life.,1,Financial Problem
financial issues have been getting to me,1,Financial Problem
financial problems and paying bills,1,Financial Problem
financial problems are starting to become annoying,1,Financial Problem
Financial problems have been getting me down lately.,1,Financial Problem
financial situation,1,Financial Problem
financial stress of being bread winner for my family is stressing me out.,1,Financial Problem
financial uncertainty and the stress it creates.,1,Financial Problem
finding a hard time covering my expenses and bills,1,Financial Problem
finding a job,1,Work
finding a job recently.,1,Work
finding a new job,1,Financial Problem
finding a new job with higher pay,1,Work
finding the finances for a birthday party after christmas,1,Financial Problem
finding the right job that'll make me happy and take me places.,1,Work
finding way to make money since noone is buying my  handmade jewelry,1,Financial Problem
finding work. it's been so difficult.,1,Work
flat tire,1,Other
Fried chicken mashed potatoes and gravy with baby peas and rolls,0,Financial Problem
friend drama,1,Emotional Turmoil
Friend! You are not alone! God loves you and wants to handle your burdens.,0,Work
From the coronavirus laid off from my serving job has created so much financial stress,1,Financial Problem
full time caregiving is hard i am always tired,1,"Health, Fatigue, or Physical Pain"
"fur real, my entire life. lol",0,Family Issues
gaining weight and just cannot seem to lose it.,1,"Health, Fatigue, or Physical Pain"
games,0,Emotional Turmoil
get out,0,Financial Problem
getting an internship this summer..,1,Work
Getting cabin fever due to coronavirus shutting things down.,1,Other
getting dinner ready for christmas was an incredible challenge!,1,Other
getting dinner ready for the holiday,1,Emotional Turmoil
getting ebola.,1,"Health, Fatigue, or Physical Pain"
getting everything done at work,1,Work
getting everything together to go to houston for a family members heart surgery.,1,Emotional Turmoil
getting injured at work and worried about living pay check to pay check,1,Financial Problem
Getting laid of due tot he virus,1,Work
"getting my body in better shape, especially tightening my stomach.",1,"Health, Fatigue, or Physical Pain"
getting my work done before the deadline with the holidays right around the corner.,1,Work
getting people to join my business.,1,Work
getting ready to travel to cancun!,0,Other
getting rid of clutter and making my home more cozy,1,Everyday Decision Making
getting texts about what's stressing me out!,1,Emotional Turmoil
getting the bus to work.,1,Work
getting to graduation with the best GPA possible,1,School
getting to my college classes this weekend,1,School
getting up early to go to church,0,"Health, Fatigue, or Physical Pain"
gf,1,Social Relationships
girl christmas is coming up and i dont have any money to buy my children anything.,1,Financial Problem
"girl i am at work , they are stressing me out over bread of the week.",1,Work
Girl I'm stressing out st work. Supervisor is driving me absolutely crazy!! HELP!!,1,Work
Girl tell me why my aunt (that lives) around the corner stole $20 from me.,1,Family Issues
"Girl, having AJ home all day while trying to wfm is stressing me out.",1,Work
"girl, i can't afford to pay my bills and i'm mentally exhausted.",1,Financial Problem
glad this day is over.,1,"Health, Fatigue, or Physical Pain"
global warming keeps getting worse and worse.,1,Other
going back to work,1,Work
Going out to the store and ppl sneezing without covering the mouth OMG,1,Everyday Decision Making
going through a divorce and my ex is trying to take my baby.,1,Family Issues
"going to doctor appointments, stress me out.",1,Work
going to my kid's school for a meeting,1,Family Issues
going to work tomorrow,1,School
got a bill to pay and not sure how :(,1,Financial Problem
got a load of work and am procrastinating,1,Work
Gotta love back home in the middle of the semester :/,1,School
grad school applications are killing me right now.,1,School
grad school is literally the worst,1,School
great stress about work,1,Emotional Turmoil
groceries,0,Social Relationships
Grocery shopping seem like a task this days,1,Everyday Decision Making
hai,0,Other
hai friend how are you many  use ful me,0,Family Issues
hai how are you,0,Work
half of my coworkers are leaving for new jobs.,1,Work
have been fighting with my girlfriend about moving to london.,1,Family Issues
have been having this issues resting after work like my whole body needs a massage,1,Work
"have been trying to clean and organize my closet, what a mess!",1,"Health, Fatigue, or Physical Pain"
have been trying to find online work that is simple but rewarding its been stressfu,1,Financial Problem
Have to use less toilet paper!,1,Everyday Decision Making
having 3 year old triplets,1,Everyday Decision Making
having a baby is stressful and currently out of a job.,1,Financial Problem
having a constant toothache,1,"Health, Fatigue, or Physical Pain"
having a hard time paying the bills,1,Financial Problem
"having a rough day, not feeling too well.",1,Work
Having absolutley no idea what I want to do with my life.,1,Emotional Turmoil
having enough money for the holidays,1,Financial Problem
having family issues,1,Family Issues
Having no job due to pandemic,1,Financial Problem
Having to be away from my family and friends due to the Corona Virus,1,Social Relationships
Having to be stuck at home. This quarantine is really messing with me.,1,"Health, Fatigue, or Physical Pain"
Having to deal with cutting staff at work.,1,Work
Having to go to work in the ER amidst all the virus drama.,1,Work
having to go to work tomorrow,1,Work
having to host christmas every year for adults that never reciprocate.,1,Emotional Turmoil
having to meet time deadlines at work.,1,Work
Having to pay my student loans,1,Financial Problem
having to replace the carpets in our living room.,1,Other
having to stay 6 feet away from everyone,1,Social Relationships
having to take care of 6 foster kittens. i'm exhausted!,1,"Health, Fatigue, or Physical Pain"
having to tell my boss i am quitting,1,Work
having to type messages on my phone.,1,Other
having to wake up early for work tomorrow,1,Work
Having to work from home and help the kids with school work.,1,Work
"Having trouble at work, dont know how to handle it.",1,Work
having trouble choosing meals for the week=getting everyone to agree!,1,Everyday Decision Making
he needs to get help when he needs it.,1,Family Issues
health of my parents. being long distance from them is worrying me more.,1,Family Issues
hello can i talk to you know about something important,0,Emotional Turmoil
"hello, i've been stressed out a lot from work.",1,Work
"hello, what's stressing me out right now is my son's homework, he got too much homework",1,School
hey friend i've been taking care of my mother on a daily and it has me stressed out.,1,Family Issues
Hey friend! This coronavirus has really been stressing me out with paying my bills.,1,Financial Problem
hey friend. i have been stressed out tremendously with my kids lately.,1,Family Issues
hey how did you find it  i just want to share my thoughts about my family situation to u,1,Family Issues
Hey John have been going thru a rough time mate. Feeling very low.,1,Work
hey just wanted to left you know that i checked on the dogs they are doing great! have f,0,Emotional Turmoil
"hey lady, i've been so stressed out about my podcast release party.",1,Everyday Decision Making
Hey my friend! I need to talk to you about a situation tthat's urgent.,1,Work
hey thanks for asking how im doing. for the most part kids and worrying their health,1,Family Issues
"Hey thanks for asking, I've been stressed about school but taking things day by day",1,Emotional Turmoil
hey thankyou for the taking time out of your day to check up on me,0,Family Issues
hey there! i am feeling really stuck at my job right now.,1,Work
hey there! im just having trouble finding a job right now.,1,Work
Hey!  This coronavirus is stressing me out!  When will it end?,1,Other
Hey! How are you?Thanks for asking. I feel stressed cooking everyday.,1,Other
hey! i had to wait in line for my coffee at starbucks for an hour this morning so that.,1,Everyday Decision Making
Hey! I think a situation that's been stressing me out is just finances.,1,Financial Problem
hey! i've been pretty stressed about waiting to hear back about internships.,1,School
hey! i've been stressing about school. everything is getting difficult.,1,School
"hey! my mom is stressing me out, again. i get so angry, theni feel bad about my anger wi",1,Family Issues
hey! right now financial aid is stressing me out,1,Financial Problem
hey! work has been stressing me out,1,Work
hey! work is making me crazy.,1,Work
"Hey, I am in the middle of final exams. Just found out if I fail this exam, I fail all.",1,School
"hey, i called you three times last week no answer, what's the problem?",1,Emotional Turmoil
"hey, i have been stressed about getting the dogs trained.",1,Other
"hey, my supervisor was on me again today. i don't think she likes me.",1,Work
"hey, want to grab a bite to eat and chat. could really use a break.",1,Social Relationships
hi,0,Other
"hi dear friend, I had stress because of my work . please give me idea to relax.",1,Work
hi dr..i just so stressful due to my project work.because the dead line is over .,1,Work
HI FRDS THANKYOU FOR TEXTINGS,1,Work
hi friend i am getting very stressfull work we meet in any hotel,1,Emotional Turmoil
hi friend i feel very stressed out about the amount of work that i have to do at work,1,Work
hi friend i had a problem a work and school ..shall we have lunch outside,1,Work
hi friend i have been having trouble falling asleep,1,Emotional Turmoil
hi friend school has been so stressful i am in finals and have 3 assignments due,1,School
"Hi Friend, Adulting has been stressing me out.",1,Everyday Decision Making
"Hi friend, I often had stress in deciding a meal. please help me how to handle this stre",1,Other
"hi friend, my job is stressing with making productivity, it seems to be their only focus",1,Work
"hi friend, recent days i had lot of work pressure. give me some idea to relax.",1,Work
"hi friend, school has been stressing me out. i feel like i'm drowning in the homework.",1,School
hi friend. give me some idea preparing a meal. this makes me streeful in deciding. give,1,Everyday Decision Making
hi friend. i had a stressful situations at home,1,Family Issues
hi friend. im recently some problems at house so i had a stressful,1,Family Issues
hi friend. i'm stressful at a work.,1,Work
hi friend. my relationship has been stressing me out. we are lacking communication.,1,Social Relationships
hi friends i m very stressful.,1,Social Relationships
"hi how are you,i feel very stressful",1,Family Issues
hi im stressing about school,1,School
Hi my friend. I need your help.,1,Other
hi there.  my job has been stressing me out.  we are so busy.,1,Work
hi there.  work is really stressing me out.,1,Work
hi too. i am just fine,0,Social Relationships
"Hi! How are you? Been good, but getting bored being inside all the time!",1,Social Relationships
hi! i have been really stressing out about my recent school load and doing my studies.,1,School
hi! i'd like to thank you as well for texting. i am stressed because i don't have money.,1,Financial Problem
